id,currency,amount,customer_id
819325e5-6fe8-4c44-832b-ee614b98d098,EUR,3815.78,fedbcfc1-2b87-4a57-99c7-ad02b120d057
08285389-bca2-4b44-8b8a-7a762585abc1,EUR,1012.25,fea1b900-cf3f-4112-95c3-d0019e626712
7cb231ef-0c8a-4d59-a345-7a72cd323265,EUR,1762.76,e69494f2-9ca1-49db-95bc-59d6bd585a84
c7357da5-5805-4cd8-93e3-fe43d95fa1f3,EUR,3342.84,dcf0bf05-869a-4b46-b4e0-1a485a0f52f2
456d3191-3af4-4acc-addc-0bf4b3cb3d97,EUR,3720.12,02dce698-47f5-40cc-9838-74f96499cc43
2a6ab294-ce5c-46ff-8e39-f49dc4598bb7,EUR,987.39,cc282225-e0d8-4694-a6f6-b281c3a448c5
bfa54345-1141-4d15-b5e9-259db6bea781,EUR,2779.07,1375b1dc-dc43-477a-a04e-662bb6dce2e6
09736396-eb96-484d-993f-36b5ea8ed98e,EUR,791.78,5ffad0ce-b4d9-4212-b2b2-0fb4e491fb95
31e0f082-20f5-4f67-9f7c-8d87a14408f0,EUR,3829.75,d7984b1d-cfba-4f03-a3b6-dfdb05d2a569
8ec537dc-f445-4975-a01a-80cdb72c2d58,EUR,276.93,258da0d6-96bd-4962-b5ed-3709b67d3204
4fff810a-8eef-4517-88bd-0ec6d420f7f9,EUR,417.68,1c40bb56-c463-4b76-96fc-9cfabdeb89d4
dab6e690-eb07-491f-9341-6d43580a23af,EUR,3252.76,73b5a501-20f0-496d-a7a6-a424151c27b9
8ce733e4-2d37-4d6a-a7b1-1c722b97f652,EUR,2629.33,9b8d8a6a-54f0-4841-9c29-8401717eded7
f0030389-bc0a-4020-9244-e14d294a6a66,EUR,3852.21,6dd5b4cd-2f52-415c-95fe-9ddf9c916d87
f5d2f7fa-48e2-4b27-a66b-97c353590567,EUR,2134.7,fcad43dd-0a93-44f1-b881-be2a7c946f21
5996b334-dc48-437d-826d-c60e95f0c407,EUR,1045.39,95f38aca-e40b-45f6-bb07-42709688a992
02d3adc3-4911-42a3-8af7-1d4536adf13b,EUR,1097.41,81a13472-e56b-4d5c-9cb0-39c0a940d02c
a8f86ad0-186a-4cd1-8449-cca041dc25b6,EUR,4072.78,e487ecb9-1667-4ef4-9640-840841f76711
af58efac-56e7-4501-9b96-9aa05ee814f7,EUR,3885.77,b79a6d6d-8f24-4f8a-b61b-609fe099b2f8
cbfba1b5-2299-40d8-8ba5-aac16255431d,EUR,2780.39,88ae7ec0-993b-4bd4-b3a0-6fda66f85cd2
e09e66eb-ff1e-4563-a75a-e5420131f3e7,EUR,3085.54,df1f434e-cd8f-4ffd-833d-47d7301feaeb
acbf0000-809d-4652-97c4-d8fe23b5160c,EUR,2763.45,d63b9aab-067f-4a96-8a0e-dfc2c3464196
22544eb5-0069-4fb3-90f3-469be7f6bd16,EUR,2507.05,9cfff5eb-9543-459c-94f4-0f53ac3f600c
ad806b98-cf9f-4a8f-a5dc-b722c75a1820,EUR,4099.17,e2336f65-6eef-4007-8926-06cd3753286e
05c37828-ca57-4941-ab58-28ab07b62c78,EUR,252.15,c7a1b883-4a1a-4de5-a43a-e25cfcba6239
