id,type,customer_id,number,nett_amount,gross_amount,tax_amount,currency,created_at
bb9163d4-8ded-4077-bd07-77f8506c76d3,invoice,fedbcfc1-2b87-4a57-99c7-ad02b120d057,DP/2004/07/04/94493095,3102.26,3815.78,713.52,EUR,"2004-07-04 23:59:00"
382a23b7-6a1a-4871-9da7-b8f1d22cc1a2,invoice,fea1b900-cf3f-4112-95c3-d0019e626712,DP/2000/03/04/44863393,822.97,1012.25,189.28,EUR,"2000-03-04 07:23:00"
ade99995-6d12-4259-bdb6-b2a824df2416,invoice,e69494f2-9ca1-49db-95bc-59d6bd585a84,DP/2002/05/11/74893090,1433.14,1762.76,329.62,EUR,"2002-05-11 16:00:00"
b2c77078-9cd4-41c1-b85c-17059fe2bd57,invoice,dcf0bf05-869a-4b46-b4e0-1a485a0f52f2,DP/2015/09/03/21753662,2717.76,3342.84,625.08,EUR,"2015-09-03 10:30:00"
cac8bf55-1cf9-459f-8498-0eaa8a9e4250,invoice,02dce698-47f5-40cc-9838-74f96499cc43,DP/2005/01/05/84382703,3024.49,3720.12,695.63,EUR,"2005-01-05 02:49:00"
93008dcc-3069-46fe-bbbd-6e5531a551d5,invoice,cc282225-e0d8-4694-a6f6-b281c3a448c5,DP/2018/10/01/16833012,802.76,987.39,184.63,EUR,"2018-10-01 01:47:00"
71bdf16a-b6c0-4821-8447-1f4a82a2048f,invoice,1375b1dc-dc43-477a-a04e-662bb6dce2e6,DP/2003/01/05/35404490,2259.41,2779.07,519.66,EUR,"2003-01-05 16:51:00"
079126fc-c910-4e2c-904c-03e7665da962,invoice,5ffad0ce-b4d9-4212-b2b2-0fb4e491fb95,DP/2000/10/03/26346602,643.72,791.78,148.06,EUR,"2000-10-03 14:26:00"
5ae38964-fe54-44a1-9b11-0471c9abbd93,invoice,d7984b1d-cfba-4f03-a3b6-dfdb05d2a569,DP/2019/01/11/23157762,3113.62,3829.75,716.13,EUR,"2019-01-11 22:38:00"
a5b4b633-ad79-4a74-9781-a17ca0ffc924,invoice,258da0d6-96bd-4962-b5ed-3709b67d3204,DP/2003/11/02/59845250,225.15,276.93,51.78,EUR,"2003-11-02 16:26:00"
35eb1345-863e-472d-9cf6-b7eaaf45012a,invoice,1c40bb56-c463-4b76-96fc-9cfabdeb89d4,DP/2000/11/12/66037679,339.58,417.68,78.1,EUR,"2000-11-12 07:29:00"
11ce7a4c-ecbd-4cee-8c12-4e9e5af6da76,invoice,73b5a501-20f0-496d-a7a6-a424151c27b9,DP/2011/11/11/67571077,2644.52,3252.76,608.24,EUR,"2011-11-11 02:47:00"
2d597ee1-5491-4024-b666-df34310ac8b9,invoice,9b8d8a6a-54f0-4841-9c29-8401717eded7,DP/2009/11/10/43154879,2137.67,2629.33,491.66,EUR,"2009-11-10 03:02:00"
4777c638-2acf-4581-8abc-5efb41498719,invoice,6dd5b4cd-2f52-415c-95fe-9ddf9c916d87,DP/2017/05/10/94904595,3131.88,3852.21,720.33,EUR,"2017-05-10 18:25:00"
65fe63c6-c9b3-4b85-93f9-c9ea5a59b582,invoice,fcad43dd-0a93-44f1-b881-be2a7c946f21,DP/2008/03/05/82469814,1735.53,2134.7,399.17,EUR,"2008-03-05 01:04:00"
41da471e-9492-4061-a976-a0bcfd3c0fbd,invoice,95f38aca-e40b-45f6-bb07-42709688a992,DP/2016/02/07/20729476,849.91,1045.39,195.48,EUR,"2016-02-07 23:33:00"
08e97bc6-138c-4730-acc1-897f21c81dd1,invoice,81a13472-e56b-4d5c-9cb0-39c0a940d02c,DP/2009/12/08/20456009,892.2,1097.41,205.21,EUR,"2009-12-08 05:06:00"
b7e986ff-f477-4707-9da6-affc0ff74ee4,invoice,e487ecb9-1667-4ef4-9640-840841f76711,DP/2004/08/01/54827348,3311.2,4072.78,761.58,EUR,"2004-08-01 22:55:00"
1f4e79dd-c7fb-44ec-9fe5-5605dc100157,invoice,b79a6d6d-8f24-4f8a-b61b-609fe099b2f8,DP/2020/09/06/27746273,3159.16,3885.77,726.61,EUR,"2020-09-06 22:44:00"
caec63a1-9c7a-4590-bc86-bcc04e3ad5ba,invoice,88ae7ec0-993b-4bd4-b3a0-6fda66f85cd2,DP/2003/07/02/72023328,2260.48,2780.39,519.91,EUR,"2003-07-02 13:14:00"
10dba729-c9d5-4522-864f-3b453f7145a5,invoice,df1f434e-cd8f-4ffd-833d-47d7301feaeb,DP/2009/05/05/90960777,2508.57,3085.54,576.97,EUR,"2009-05-05 01:36:00"
f86f56c7-4ca5-41a0-8748-967f3ed726c6,invoice,d63b9aab-067f-4a96-8a0e-dfc2c3464196,DP/2012/03/01/51281132,2246.71,2763.45,516.74,EUR,"2012-03-01 03:05:00"
22a73a2f-da16-4758-9b55-06349cef606f,invoice,9cfff5eb-9543-459c-94f4-0f53ac3f600c,DP/2002/01/01/98879880,2038.25,2507.05,468.8,EUR,"2002-01-01 06:22:00"
f3028f01-75fc-4eee-8aa0-072238954149,invoice,e2336f65-6eef-4007-8926-06cd3753286e,DP/2003/09/10/43673797,3332.66,4099.17,766.51,EUR,"2003-09-10 04:34:00"
4805db28-46ad-4cff-917c-259c866d4136,invoice,c7a1b883-4a1a-4de5-a43a-e25cfcba6239,DP/2016/09/12/68357482,205,252.15,47.15,EUR,"2016-09-12 12:20:00"
9cb23007-0fc1-49e7-833f-0dcdf2df2ec5,invoice,9e20ae4c-6b5c-4cce-95f6-de864ded563b,DP/2004/08/06/71140795,2894.45,3560.17,665.72,EUR,"2004-08-06 19:33:00"
